name,total_reviews,total_citedin,max_citedin,max_citedin_pmid,max_citedin_year,year_start,year_last
Hans-Christian Reinecker,3,56,24,16760749,2006,2005,2006
Brian I Rini,3,15,12,11883698,2002,2001,2003
Paul D Robbins,3,15,12,17876111,2007,1999,2007
Kenneth L Rock,3,98,49,21884177,2011,1998,2011
Jacalyn Rosenblatt,3,12,5,25625926,2015,2005,2015
Daniel R Saban,3,19,10,24725321,2014,2013,2015
Marcus D Saemann,3,158,69,19362054,2009,2008,2009
Flavio Salazar-Onfray,3,12,6,25625929,2015,2004,2015
John H Sampson,3,16,11,12952297,2003,2003,2014
Alessandro D Santin,3,17,13,16248803,2005,2000,2005
Katsuaki Sato,3,21,21,17646733,2007,2007,2014
Detlef Schlondorff,3,55,27,17420659,2007,2007,2007
Michael Schmitt,3,16,9,22474481,2012,2006,2012
Marc Schmitz,3,72,38,21411969,2011,2007,2011
Matthias Schott,3,19,11,18283627,2008,2006,2010
Thomas Schwarz,3,2,2,16117738,2005,1988,2005
Ethan M Shevach,3,42,42,22118408,2011,1981,2011
Shinji Shimada,3,18,17,16226431,2005,1994,2016
Jan C Simon,3,28,22,12615203,2003,1994,2003
Mouldy Sioud,3,15,7,19906192,2009,2009,2014
Hermelijn H Smits,3,55,35,20425508,2010,2007,2013
Hergen Spits,3,52,25,17241957,2007,1998,2007
Andrew J Stagg,3,70,41,12970149,2003,1993,2004
Mary M Stevenson,3,199,177,15039754,2004,2004,2011
Patrizia Stoitzner,3,127,96,20193016,2010,2001,2011
Urban Svajger,3,24,10,22587021,2012,2010,2013
Inge Marie Svane,3,48,43,18719915,2008,2003,2008
Gyongyi Szabo,3,37,14,17886338,2007,2007,2011
Hideaki Tahara,3,29,16,19459853,2009,1996,2009
Yousuke Takahama,3,42,25,19117532,2009,2009,2012
Hidemi Takahashi,3,5,4,12818619,2003,2002,2010
A J Thrasher,3,10,6,15556856,2004,1998,2004
Toshihiko Torigoe,3,13,13,20021222,2009,2004,2016
Dale T Umetsu,3,14,5,12673064,2003,2003,2005
Britta C Urban,3,47,23,12088680,2002,2002,2008
Jenny Valladeau,3,84,66,15953735,2005,2003,2006
Leonie S van Rijt,3,42,29,16164437,2005,2005,2007
Hendrik Veelken,3,13,11,17514654,2007,2007,2009
Eric Vivier,3,197,139,15933055,2005,2005,2010
Michael S von Bergwelt-Baildon,3,38,25,15530836,2004,2004,2008
Esther von Stebut,3,12,7,22983754,2012,2009,2012
Herman Waldmann,3,15,14,15324738,2004,2004,2007
Yonghong Wan,3,26,23,21468005,2011,2001,2011
Ji Ming Wang,3,23,13,21624504,2011,2002,2016
Rong-Fu Wang,3,24,13,16140545,2005,2002,2012
Carl F Ware,3,103,55,15546385,2004,2004,2014
Stephanie S Watowich,3,51,40,20969586,2010,2010,2014
David B Weiner,3,79,47,11129646,2000,2000,2004
Wolfgang Weninger,3,42,19,15001175,2004,2004,2014
Theresa L Whiteside,3,62,33,17337785,2007,2000,2007
K Wolff,3,14,12,4130599,1971,1971,1988
Andrea M Woltman,3,75,59,22323450,2012,2003,2014
T C Wu,3,43,28,12669466,2003,2000,2006
Bao-Guo Xiao,3,15,7,16971802,2006,2000,2006
Xi Yang,3,16,13,12570676,2003,2003,2017
Osamu Yoshie,3,7,5,11197204,2001,2001,2005
Akihiko Yoshimura,3,65,32,19597303,2009,2005,2009
Martin Zenke,3,12,8,12774941,2003,2003,2005
Sheng Zhang,3,29,20,19410556,2009,2007,2009
Yanyun Zhang,3,6,3,16285894,2005,2005,2007
Yong Zhao,3,29,15,20128825,2010,2006,2010
Weiping Zou,3,487,448,15776005,2005,2005,2011
N J Zvaifler,3,8,8,3321208,1987,1987,1989
Reza Abdi,2,100,93,18586907,2008,2008,2009
Roberto S Accolla,2,1,1,16895506,2006,2005,2006
Sylvia Adams,2,27,19,16118915,2005,2005,2005
Juan Carlos Aguillon,2,9,7,25633325,2015,2015,2016
Jeffrey D Ahlers,2,12,9,19609978,2009,2009,2009
Omid Akbari,2,5,3,20016853,2009,2009,2013
Hafid Omar Al-Hassi,2,1,1,25163469,2014,2014,2015
Jorge Alcocer-Varela,2,16,13,17643932,2007,2007,2013
Frank Alderuccio,2,5,5,18220873,2008,2004,2008
Selman A Ali,2,36,34,15197495,2004,2004,2005
J-P Allam,2,19,10,20408854,2010,2010,2011
Costica Aloman,2,8,4,21284665,2011,2011,2013
Marcus Altfeld,2,74,63,21350578,2011,2011,2011
